"Week of";"Commits"
"2018-07-15";10
"2018-07-22";4
"2018-07-29";0
"2018-08-05";3
"2018-08-12";13
"2018-08-19";0
"2018-08-26";7
"2018-09-02";38
"2018-09-09";20
"2018-09-16";17
"2018-09-23";38
"2018-09-30";43
"2018-10-07";0
"2018-10-14";10
"2018-10-21";20
"2018-10-28";23
"2018-11-04";13
"2018-11-11";0
"2018-11-18";0
"2018-11-25";23
"2018-12-02";17
"2018-12-09";14
"2018-12-16";0
"2018-12-23";0
"2018-12-30";0
"2019-01-06";0
"2019-01-13";0
"2019-01-20";0
"2019-01-27";0
"2019-02-03";0
"2019-02-10";8
"2019-02-17";0
"2019-02-24";0
"2019-03-03";1
"2019-03-10";5
"2019-03-17";0
"2019-03-24";6
"2019-03-31";16
"2019-04-07";0
"2019-04-14";0
"2019-04-21";13
"2019-04-28";77
"2019-05-05";78
"2019-05-12";1
"2019-05-19";80
"2019-05-26";86
"2019-06-02";116
"2019-06-09";47
"2019-06-16";17
"2019-06-23";7
"2019-06-30";46
"2019-07-07";51
"2019-07-14";8
"2019-07-21";1
"2019-07-28";4
"2019-08-04";0
"2019-08-11";17
"2019-08-18";15
"2019-08-25";12
"2019-09-01";4
"2019-09-08";10
"2019-09-15";46
"2019-09-22";14
"2019-09-29";5
"2019-10-06";14
"2019-10-13";1
"2019-10-20";0
"2019-10-27";4
"2019-11-03";0
"2019-11-10";0
"2019-11-17";2
"2019-11-24";1
"2019-12-01";0
"2019-12-08";15
"2019-12-15";3
"2019-12-22";0
"2019-12-29";0
"2020-01-05";0
"2020-01-12";0
"2020-01-19";16
"2020-01-26";9
"2020-02-02";20
"2020-02-09";12
"2020-02-16";5
"2020-02-23";3
"2020-03-01";2
"2020-03-08";0
"2020-03-15";21
"2020-03-22";22
"2020-03-29";29
"2020-04-05";6
"2020-04-12";17
"2020-04-19";25
"2020-04-26";22
"2020-05-03";23
"2020-05-10";12
"2020-05-17";35
"2020-05-24";84
"2020-05-31";10
"2020-06-07";50
"2020-06-14";17
"2020-06-21";3
"2020-06-28";23
"2020-07-05";0
"2020-07-12";2
"2020-07-19";21
"2020-07-26";29
"2020-08-02";12
"2020-08-09";11
"2020-08-16";33
"2020-08-23";42
"2020-08-30";41
"2020-09-06";29
"2020-09-13";31
"2020-09-20";20
"2020-09-27";7
"2020-10-04";8
"2020-10-11";20
"2020-10-18";16
"2020-10-25";21
"2020-11-01";19
"2020-11-08";22
"2020-11-15";40
"2020-11-22";35
"2020-11-29";31
"2020-12-06";17
"2020-12-13";11
"2020-12-20";7
"2020-12-27";0
"2021-01-03";5
"2021-01-10";22
"2021-01-17";39
"2021-01-24";57
"2021-01-31";25
"2021-02-07";22
"2021-02-14";44
"2021-02-21";24
"2021-02-28";71
"2021-03-07";16
"2021-03-14";31
"2021-03-21";39
"2021-03-28";17
"2021-04-04";7
"2021-04-11";28
"2021-04-18";32
"2021-04-25";45
"2021-05-02";42
"2021-05-09";31
"2021-05-16";10
"2021-05-23";22
"2021-05-30";18
"2021-06-06";30
"2021-06-13";8
"2021-06-20";5
"2021-06-27";0
"2021-07-04";0
"2021-07-11";0
"2021-07-18";0
"2021-07-25";0
"2021-08-01";0
"2021-08-08";0
"2021-08-15";0
"2021-08-22";0
"2021-08-29";0
"2021-09-05";1
"2021-09-12";0
"2021-09-19";0
"2021-09-26";0
"2021-10-03";0
"2021-10-10";0
