"Week of";"Commits"
"2015-07-05";0
"2015-07-12";0
"2015-07-19";0
"2015-07-26";0
"2015-08-02";2
"2015-08-09";8
"2015-08-16";16
"2015-08-23";9
"2015-08-30";6
"2015-09-06";16
"2015-09-13";7
"2015-09-20";24
"2015-09-27";11
"2015-10-04";9
"2015-10-11";6
"2015-10-18";28
"2015-10-25";29
"2015-11-01";14
"2015-11-08";5
"2015-11-15";6
"2015-11-22";7
"2015-11-29";11
"2015-12-06";25
"2015-12-13";14
"2015-12-20";2
"2015-12-27";0
"2016-01-03";14
"2016-01-10";2
"2016-01-17";4
"2016-01-24";20
"2016-01-31";3
"2016-02-07";6
"2016-02-14";2
"2016-02-21";20
"2016-02-28";8
"2016-03-06";7
"2016-03-13";9
"2016-03-20";11
"2016-03-27";7
"2016-04-03";9
"2016-04-10";3
"2016-04-17";17
"2016-04-24";0
"2016-05-01";4
"2016-05-08";12
"2016-05-15";7
"2016-05-22";6
"2016-05-29";39
"2016-06-05";20
"2016-06-12";10
"2016-06-19";3
"2016-06-26";23
"2016-07-03";3
"2016-07-10";16
"2016-07-17";1
"2016-07-24";6
"2016-07-31";14
"2016-08-07";22
"2016-08-14";4
"2016-08-21";3
"2016-08-28";14
"2016-09-04";4
"2016-09-11";16
"2016-09-18";13
"2016-09-25";17
"2016-10-02";4
"2016-10-09";7
"2016-10-16";37
"2016-10-23";23
"2016-10-30";14
"2016-11-06";5
"2016-11-13";24
"2016-11-20";10
"2016-11-27";21
"2016-12-04";13
"2016-12-11";26
"2016-12-18";0
"2016-12-25";0
"2017-01-01";11
"2017-01-08";13
"2017-01-15";7
"2017-01-22";7
"2017-01-29";13
"2017-02-05";5
"2017-02-12";8
"2017-02-19";11
"2017-02-26";6
"2017-03-05";13
"2017-03-12";14
"2017-03-19";18
"2017-03-26";24
"2017-04-02";32
"2017-04-09";8
"2017-04-16";11
"2017-04-23";2
"2017-04-30";7
"2017-05-07";5
"2017-05-14";11
"2017-05-21";0
"2017-05-28";5
"2017-06-04";6
"2017-06-11";5
"2017-06-18";19
"2017-06-25";20
"2017-07-02";22
"2017-07-09";5
"2017-07-16";18
"2017-07-23";5
"2017-07-30";12
"2017-08-06";44
"2017-08-13";6
"2017-08-20";14
"2017-08-27";1
"2017-09-03";7
"2017-09-10";19
"2017-09-17";5
"2017-09-24";12
"2017-10-01";9
"2017-10-08";41
"2017-10-15";13
"2017-10-22";39
"2017-10-29";35
"2017-11-05";21
"2017-11-12";16
"2017-11-19";17
"2017-11-26";29
"2017-12-03";50
"2017-12-10";17
"2017-12-17";2
"2017-12-24";1
"2017-12-31";15
"2018-01-07";4
"2018-01-14";0
"2018-01-21";11
"2018-01-28";15
"2018-02-04";9
"2018-02-11";21
"2018-02-18";26
"2018-02-25";23
"2018-03-04";37
"2018-03-11";41
"2018-03-18";38
"2018-03-25";17
"2018-04-01";23
"2018-04-08";28
"2018-04-15";6
