"Week of";"Commits"
"2012-03-11";1
"2012-03-18";1
"2012-03-25";0
"2012-04-01";0
"2012-04-08";0
"2012-04-15";0
"2012-04-22";3
"2012-04-29";0
"2012-05-06";0
"2012-05-13";6
"2012-05-20";2
"2012-05-27";4
"2012-06-03";4
"2012-06-10";0
"2012-06-17";1
"2012-06-24";1
"2012-07-01";4
"2012-07-08";7
"2012-07-15";3
"2012-07-22";0
"2012-07-29";3
"2012-08-05";0
"2012-08-12";1
"2012-08-19";0
"2012-08-26";1
"2012-09-02";0
"2012-09-09";0
"2012-09-16";1
"2012-09-23";2
"2012-09-30";1
"2012-10-07";0
"2012-10-14";0
"2012-10-21";3
"2012-10-28";1
"2012-11-04";2
"2012-11-11";1
"2012-11-18";1
"2012-11-25";7
"2012-12-02";2
"2012-12-09";1
"2012-12-16";0
"2012-12-23";0
"2012-12-30";2
"2013-01-06";8
"2013-01-13";9
"2013-01-20";2
"2013-01-27";15
"2013-02-03";4
"2013-02-10";10
"2013-02-17";4
"2013-02-24";5
"2013-03-03";0
"2013-03-10";4
"2013-03-17";4
"2013-03-24";11
"2013-03-31";5
"2013-04-07";6
"2013-04-14";7
"2013-04-21";16
"2013-04-28";14
"2013-05-05";9
"2013-05-12";7
"2013-05-19";8
"2013-05-26";5
"2013-06-02";2
"2013-06-09";5
"2013-06-16";0
"2013-06-23";0
"2013-06-30";11
"2013-07-07";8
"2013-07-14";16
"2013-07-21";20
"2013-07-28";26
"2013-08-04";19
"2013-08-11";9
"2013-08-18";4
"2013-08-25";11
"2013-09-01";4
"2013-09-08";14
"2013-09-15";18
"2013-09-22";18
"2013-09-29";14
"2013-10-06";15
"2013-10-13";10
"2013-10-20";38
"2013-10-27";11
"2013-11-03";18
"2013-11-10";12
"2013-11-17";4
"2013-11-24";16
"2013-12-01";18
"2013-12-08";18
"2013-12-15";16
"2013-12-22";1
"2013-12-29";4
"2014-01-05";10
"2014-01-12";12
"2014-01-19";15
"2014-01-26";14
"2014-02-02";18
"2014-02-09";14
"2014-02-16";22
"2014-02-23";14
"2014-03-02";8
"2014-03-09";12
"2014-03-16";11
"2014-03-23";25
"2014-03-30";15
"2014-04-06";15
"2014-04-13";20
"2014-04-20";21
"2014-04-27";3
"2014-05-04";11
"2014-05-11";21
"2014-05-18";2
"2014-05-25";2
"2014-06-01";15
"2014-06-08";24
"2014-06-15";19
"2014-06-22";2
"2014-06-29";12
"2014-07-06";22
"2014-07-13";19
"2014-07-20";13
"2014-07-27";8
"2014-08-03";3
"2014-08-10";11
"2014-08-17";2
"2014-08-24";5
"2014-08-31";3
"2014-09-07";7
"2014-09-14";1
"2014-09-21";3
"2014-09-28";8
"2014-10-05";9
"2014-10-12";6
"2014-10-19";8
"2014-10-26";0
"2014-11-02";6
"2014-11-09";1
"2014-11-16";19
"2014-11-23";35
"2014-11-30";31
"2014-12-07";21
"2014-12-14";30
"2014-12-21";4
"2014-12-28";0
"2015-01-04";13
"2015-01-11";54
"2015-01-18";40
"2015-01-25";46
"2015-02-01";34
"2015-02-08";43
"2015-02-15";32
"2015-02-22";38
"2015-03-01";59
"2015-03-08";49
"2015-03-15";64
"2015-03-22";93
"2015-03-29";48
"2015-04-05";62
"2015-04-12";60
"2015-04-19";88
"2015-04-26";47
"2015-05-03";99
"2015-05-10";71
"2015-05-17";42
"2015-05-24";34
