"Week of";"Commits"
"2008-09-21";1
"2008-09-28";0
"2008-10-05";0
"2008-10-12";0
"2008-10-19";0
"2008-10-26";0
"2008-11-02";0
"2008-11-09";0
"2008-11-16";0
"2008-11-23";0
"2008-11-30";0
"2008-12-07";2
"2008-12-14";1
"2008-12-21";1
"2008-12-28";0
"2009-01-04";2
"2009-01-11";6
"2009-01-18";3
"2009-01-25";1
"2009-02-01";0
"2009-02-08";0
"2009-02-15";0
"2009-02-22";0
"2009-03-01";3
"2009-03-08";2
"2009-03-15";1
"2009-03-22";2
"2009-03-29";2
"2009-04-05";0
"2009-04-12";0
"2009-04-19";0
"2009-04-26";1
"2009-05-03";3
"2009-05-10";3
"2009-05-17";4
"2009-05-24";6
"2009-05-31";0
"2009-06-07";0
"2009-06-14";1
"2009-06-21";0
"2009-06-28";0
"2009-07-05";2
"2009-07-12";0
"2009-07-19";0
"2009-07-26";0
"2009-08-02";0
"2009-08-09";0
"2009-08-16";1
"2009-08-23";1
"2009-08-30";1
"2009-09-06";0
"2009-09-13";0
"2009-09-20";0
"2009-09-27";4
"2009-10-04";0
"2009-10-11";0
"2009-10-18";0
"2009-10-25";0
"2009-11-01";0
"2009-11-08";0
"2009-11-15";0
"2009-11-22";0
"2009-11-29";0
"2009-12-06";0
"2009-12-13";0
"2009-12-20";0
"2009-12-27";1
"2010-01-03";6
"2010-01-10";1
"2010-01-17";1
"2010-01-24";0
"2010-01-31";0
"2010-02-07";0
"2010-02-14";0
"2010-02-21";0
"2010-02-28";1
"2010-03-07";0
"2010-03-14";0
"2010-03-21";0
"2010-03-28";3
"2010-04-04";1
"2010-04-11";0
"2010-04-18";2
"2010-04-25";2
"2010-05-02";0
"2010-05-09";0
"2010-05-16";1
"2010-05-23";2
"2010-05-30";2
"2010-06-06";13
"2010-06-13";0
"2010-06-20";0
"2010-06-27";0
"2010-07-04";0
"2010-07-11";0
"2010-07-18";0
"2010-07-25";0
"2010-08-01";0
"2010-08-08";0
"2010-08-15";0
"2010-08-22";0
"2010-08-29";0
"2010-09-05";0
"2010-09-12";0
"2010-09-19";0
"2010-09-26";0
"2010-10-03";1
"2010-10-10";0
"2010-10-17";0
"2010-10-24";0
"2010-10-31";0
"2010-11-07";1
"2010-11-14";0
"2010-11-21";1
"2010-11-28";1
"2010-12-05";1
"2010-12-12";0
"2010-12-19";2
"2010-12-26";0
"2011-01-02";0
"2011-01-09";0
"2011-01-16";0
"2011-01-23";1
"2011-01-30";0
"2011-02-06";0
"2011-02-13";0
"2011-02-20";0
"2011-02-27";0
"2011-03-06";4
"2011-03-13";0
"2011-03-20";5
"2011-03-27";6
"2011-04-03";0
"2011-04-10";0
"2011-04-17";0
"2011-04-24";0
"2011-05-01";0
"2011-05-08";0
"2011-05-15";0
"2011-05-22";1
"2011-05-29";11
"2011-06-05";0
"2011-06-12";2
"2011-06-19";1
"2011-06-26";0
"2011-07-03";2
"2011-07-10";0
"2011-07-17";3
"2011-07-24";6
"2011-07-31";4
"2011-08-07";1
"2011-08-14";0
"2011-08-21";0
"2011-08-28";1
"2011-09-04";0
"2011-09-11";3
"2011-09-18";0
"2011-09-25";0
"2011-10-02";0
"2011-10-09";4
"2011-10-16";5
"2011-10-23";0
